Review ID,Review Content,Review Score,Review Time
Booking.com,746412344,"
 It was the venue for the Disney Concert where my family opted to stay. Coming from the Mindanao with my daughter to have a good experience of live concert from her favorite disney princess
 We were not informed during our check-in that the water heater of the hotel is down. Out of courtesy that could have been something they have told us about.
The fifteen floor was supposed to be s none smoking floor. However, the smell in the hallway was too stinky and smells like someone is smoking from one of the rooms.",4.0,2023-11-27T14:37:32+07:00
Booking.com,746412388,"
 The Italian restaurant had amazing food
 The rooms are very outdated. The shower didn't work. And the provided bath mat was moldy.

The pool was green in places, parts of it blocked off from use.

There was no atmosphere at all and most of the hotel was blocked off, under construction or escalators to places weren't operating giving the feel we couldn't go there.",6.0,2023-11-23T10:26:06+07:00
Booking.com,746412360,"
 The location and friendly staff
 Not hot water, and in the last day i didn't even enough water pressure.",4.0,2023-11-23T07:06:46+07:00
Booking.com,746412411,"
 The lobby looked wonderful.
 no shower in the bathroom.",7.0,2023-11-22T02:23:35+07:00
Booking.com,746412401,"
 atmosphere
 There is no hot water, the Wi-Fi is extremely weak, and the quality of the restaurant has deteriorated.
I will never use this hotel again.",1.0,2023-11-21T02:27:36+07:00
Booking.com,746412366,"
 People/staff superb
 Expensive",8.0,2023-11-19T04:59:02+07:00
Booking.com,746412377,"
 It was nice
 Needs a renovation. Units are old and out of date",7.0,2023-11-19T00:55:02+07:00
Booking.com,741407486,"
 reasonable hotel
 all about gambling",6.0,2023-11-15T03:50:48+07:00
Booking.com,741407544,"
 The hotel have a very friendly and helpful staff.  Also, they smile most of the the time.
 None",10.0,2023-11-08T16:28:55+07:00
Booking.com,741407453,"
 
 The room smelled musty, we wanted one bed, but they gave us two single beds pushed together. They literally just pushed together, obviously, there was a gap in between so it's still like sleeping on a separate single bed. We thought that they would at least modify the bedding and the linens. Speaking of beddings and linens, they had this old, mostly, mouldy smell. The toilet was clogged after one use, the THERMOSTAT WAS BROKEN. It was 11 degrees in the room when we woke up after our first night. We left the hotel slightly under the weather because of the irregular and dysfunctional thermostat. The floors and even the carpet were sticky. We can hear the people from across the room and they weren't even being loud. They were just having a normal conversation but we can still hear them. There were NO ISSUES with the staff, just with the actual facility and hotel itself.",1.0,2023-11-07T17:15:11+07:00
Booking.com,734195726,"
 Location
 Process of check in you have to fall in line twice after you are already checked just to get your room key",6.0,2023-10-29T04:26:44+07:00
Booking.com,734195722,"
 The hotel is very cleaned, customer service was superb, location is great close to I.T Park.
 The casino needs a major upgrade. Most of the machines were old.",9.0,2023-10-27T13:40:23+07:00
Booking.com,734195814,"
 Lively and well organized.
 ",10.0,2023-10-23T07:56:44+07:00
Booking.com,734195790,"
 The location was great! Walking distance to the Cebu IT Park where there are malls and some night food markets! The selections for the breakfast buffet were very delicious!
 The view we got for our room faced more towards the back or side where we can see some rubbles. Unsure if they were doing some renovations there.",8.0,2023-10-22T18:53:00+07:00
Booking.com,734195741,"
 buffet breakfast was really good.
 ",8.0,2023-10-21T13:51:02+07:00
Booking.com,734195724,"
 Architecture & design, swimming pool, restaurants, nearby smoking area outside, location right in front of Cebu IT Park
 Moisture, terrible WiFi, laundry service asking crazy money for each piece else then offering washing machines to customers",6.0,2023-10-19T02:24:59+07:00
Booking.com,734195772,"
 The rooms are spacious.
 It’s hot in the room.The aircon was not working or the temperature cannot be changed.We called for somebody to check but they did not bother to send anybody.The same with the other room.",4.0,2023-10-18T21:59:52+07:00
Booking.com,728258861,"
 Location
 Accesibility was an issue. Near everything but have to travel in rounds to get across the street if you have a car",5.0,2023-10-15T12:34:09+07:00
Booking.com,728258881,"
 i like the ambiance of the property its good and clean . but with very POOR MANAGEMENT!! i booked a room for my sisters to stay for a night under my name . i even contacted the property personally to let them know about it and they told me that they will put a their names on there. i am away and there’s 12hours time difference!!!  the check in was 3pm that means thats 3am here in the U.S. if I hadn’t woke up 4:30am and check on them I wouldn’t know about it . they won’t let them check in because they need an authorization letter with my passport picture!!! this is very unacceptable, i was expecting they will enjoy their stay but no . they even tried to ask them staff but the staff were just passing them and not even bothered to stop and answer their questions !!! i stayed here before and it was good and i even got engaged at this hotel . i had high hopes .. maybe will come back but will never recommend it to anyone hopefully them staff trained well not just to be polite with foreigners but also to fellow filipino guests as well !!!
 i like the ambiance of the property its good and clean . but with very POOR MANAGEMENT!! i booked a room for my sisters to stay for a night under my name . i even contacted the property personally to let them know about it and they told me that they will put a their names on there. i am away and there’s 12hours time difference!!!  the check in was 3pm that means thats 3am here in the U.S. if I hadn’t woke up 4:30am and check on them I wouldn’t know about it . they won’t let them check in because they need an authorization letter with my passport picture!!! this is very unacceptable, i was expecting they will enjoy their stay but no . they even tried to ask them staff but the staff were just passing them and not even bothered to stop and answer their questions !!! i stayed here before and it was good and i even got engaged at this hotel . i had high hopes .. maybe will come back but will never recommend it to anyone hopefully them staff trained well not just to be polite with foreigners but also to fellow filipino guests as well !!!",1.0,2023-10-12T03:10:33+07:00
Booking.com,728258865,"
 Easy to access to the IT Park
 None",8.0,2023-10-11T04:21:33+07:00
Booking.com,728258851,"
 Friendly staff
 Furniture is old",10.0,2023-10-10T15:21:28+07:00
Booking.com,728258869,"
 room
 long wait time to check in",10.0,2023-10-07T05:23:19+07:00
Booking.com,728258855,"
 Cafes
 not enough amenities",9.0,2023-10-06T16:27:30+07:00
Booking.com,728258846,"
 The staff was friendly and rooms we stayed was great for the rate i paid . Very clean and easy and safe to go out around the area.
 I have nothing to say that i didnt like.",10.0,2023-10-04T02:12:37+07:00
Booking.com,721514113,"
 Location great for U.S. Consular Services
 Would have liked to have breakfast included with the rate",7.0,2023-09-29T17:59:08+07:00
Booking.com,721514101,"
 The rooms were very clean and spacious. They are a bit out dated but the hospitality and amenities definitely make up for it. The beds are quite comfortable and the AC was able to keep our room at a decent temperature. The Wi-Fi though could use some work. The signal was very spotty. It was either too weak to connect or not strong enough to keep a stable connection. At one point I just started using my data because I got frustrated with the constant disconnects. 

The staff were incredibly friendly and helpful when we asked questions, always smiling and greeting us when passing in the halls or lobby. Check in did take longer than usual as there was only one receptionist, we arrived around 7PM, but when we checked out a few days later there were 3 people working front desk. The pool area is HUGE and there is a life guard on duty, good idea since the main pool is quite deep right from the start. I'm 5'6"" and  couldn't touch in the centre. There is a kiddie pool separate from the main pool as well. The hotel offers swimming lessons for kids which was really nice to see. Unfortunately the waterfall was under construction but the outdoor area was still beautiful and we enjoyed our afternoon there. There were plenty of loungers and seating available around the pool so finding a close seat was never an issue. 
In the mornings there is an outdoor space, same area as the pool, to enjoy yoga and the gym was one of the nicest ones I have seen in any hotel (or some gyms even!). There is room service, avail 24 hours, and a few restaurants on site. However they were a little over priced so we opted to eat out or have delivery. We don't gamble so we never bothered to check out the casino side but it looked quite popular. At the main entrance there is security and a dog on site to ensure the guests safety. 
We had such a relaxing vacation and a great time visiting the city. Highly recommend staying here if you get the chance.
 ",9.0,2023-09-27T08:43:33+07:00
Booking.com,721514132,"
 Great location and beautiful place.
 The fact that I had a guest with me and they literally chased us down and stopped us. Then charged me 1000 pesos to add her as a guest. If I’m paying for a room for 2 why do I have to get chased down and get charged again.",10.0,2023-09-26T17:06:34+07:00
Booking.com,721514108,"
 Accessible and the Staff were so friendly.
 Parking Lot.",10.0,2023-09-24T15:55:05+07:00
Booking.com,721514099,"
 
 There were not much of wall plug. No plug near the bed area, to charge electronic devices.",5.0,2023-09-18T00:47:09+07:00
Booking.com,721514122,"
 It was clean and pleasant. The staff were really kind
 Nothing really",10.0,2023-09-17T17:32:29+07:00
Booking.com,714211059,"
 Location 
Breakfast buffet
 No bidet in toilet",8.0,2023-09-15T15:50:31+07:00
Booking.com,714211065,"
 Hotel is great. But their billing is crazy
 Charged me an extra hold for a 1 day stay (3 days before I checked in )  (apparently a 30 day hold . It's still pending in my account )  what's the point of using an app to book. If they are going to do this.  When I checked in I asked about the  extra charge. The front desk said they had to call their credit card processing company and manually cancel it and suggested I dispute the charge. This is at check in I'm being told to dispute a charge.    Not a good way to start a check in process.   Waterfront needs to get their act together. And booking shouldn't be transferring my credit card info to their clients...",1.0,2023-09-14T14:52:18+07:00
Booking.com,714211005,"
 Good locations and lobby was big and plenty of chairs and tables
 Outside traffic was bad",10.0,2023-09-13T08:58:36+07:00
Booking.com,714211063,"
 The breakfast buffet was one of the best.
 Door staff were not readily helpful to assist in getting a cab. Hesitated to do so until further prodding  from their colleague.",10.0,2023-09-10T17:16:48+07:00
Booking.com,714211009,"
 Breakfast was excellent! Fresh , tasty and good selections.
 I think we were on the 7th floor,  night time i can hear people talking loudly  which to me were staff . It didn't last long but i was disrupted with my reading.",10.0,2023-09-10T15:05:52+07:00
Booking.com,714211034,"
 Food is rather fine
 The wifi was really poor,
Even in the lobby there was only few places where I could get full network..
Really frustrating.",7.0,2023-09-07T17:18:08+07:00
Booking.com,714211071,"
 The large and comfy room + bathroom was great
 For a hotel this caliber the bathrooms could have been cleaner. The breakfast was not worth the price. The restaurants in the hotel were not great either. There were men in the hotel lobby who approached us rather aggresively  multiple times about luring us into the casino or for a ""private driver to show you the good places"". Very sketchy and totally inappropriate for such a hotel.",6.0,2023-09-07T08:43:45+07:00
Booking.com,714211077,"
 Room was very nice and everything worked. The lobby and restaurants were very good. The elevators were fast and the staff working the doors were all great
 The telephone in the room was very buggy and hard to use",8.0,2023-09-05T09:14:37+07:00
Booking.com,714211003,"
 
 casino is very bad no open all table all time hotel is old but not so bad breakfast good",4.0,2023-09-01T15:40:44+07:00
Booking.com,714211026,"
 The colonial style building is huge and has real character....  Breakfast was OK reasonable choice .. The pool area is huge but not many people using it.... the gym is very well equipped ....
 Wifi is somewhat slow and a little patchy especially in busy evening....",9.0,2023-09-01T06:10:14+07:00
Booking.com,703910778,"
 It is centrally located in a very nice area of Cebu city
 Nothing at all. The hotel is beautiful. The staff is amazing.",10.0,2023-08-30T06:34:09+07:00
Booking.com,703910746,"
 Amazing
 ",10.0,2023-08-28T16:34:14+07:00
Booking.com,703910776,"
 I was in the queue for more than an hour , as the staff are very busy..
 There aren't enough staff who can facilitate the busy",5.0,2023-08-25T15:42:11+07:00
Booking.com,703910760,"
 The cleanliness of the hotel was superb and lobby is cozy.
 Toilet needed enhancement.",10.0,2023-08-21T20:29:04+07:00
Booking.com,703910772,"
 
 Most horrible customer service",1.0,2023-08-18T07:18:12+07:00
